90,,,,20,,1994-10-01,1995-01-17,,1,108.00,,,,,11,F,F,,,,,
91,,,,16,,1994-12-25,1994-12-26,,2,1.00,,,,,11,F,F,,,,,
92,,,,19,,1994-12-25,1994-12-25,,2,0.50,,,,,11,F,F,,,,,
93,,,,16,,1995-01-17,1995-01-17,,3,0.50,,,,,11,F,F,,,,,
94,,,,21,,,1995-01-23,,10,0.00,,,,,11,F,F,,,,,
95,,,,16,,1995-01-26,1995-01-26,,3,0.50,,,,,11,F,F,,,,,
96,,,,20,,1995-04-16,1995-04-16,,2,0.50,,,,,11,F,F,,,,,
97,,,,16,,1995-04-16,1995-04-16,,2,0.50,,,,,11,F,F,,,,,
98,,,,10,,1995-05-14,1995-05-16,,3,2.00,,,,,11,F,F,,,,,
99,,,,15,,1995-05-29,1995-05-31,,3,2.00,,,,,11,F,F,,,,,
100,,,,15,,1995-06-05,1995-06-07,,3,2.00,,,,,11,F,F,,,,,
101,,,,9,,1995-06-14,1995-08-02,,1,49.00,,,,,11,F,F,,,,,
102,,,,14,,1995-06-06,1995-06-24,,1,18.00,,,,,11,F,F,,,,,
103,,,,16,,1995-07-04,1995-07-04,,3,0.50,,,,,11,F,F,,,,,
104,,,,10,,1995-08-05,1995-09-25,,1,51.00,,,,,11,F,F,,,,,
105,,,,16,,1995-07-15,1995-07-15,,2,0.50,,,,,11,F,F,,,,,
106,,,,16,,1995-07-16,1995-07-16,,2,0.50,,,,,11,F,F,,,,,
107,,,,2,,1995-07-19,1995-09-27,,1,70.00,,,,,11,F,F,,,,,
108,,,,15,,1995-08-03,1995-09-23,,1,51.00,,,,,11,F,F,,,,,
109,,,,18,,1995-08-04,1995-08-05,,3,1.00,,,,,11,F,F,,,,,
110,,,,13,,1995-08-19,1995-08-19,,2,0.50,,,,,11,F,F,,,,,
111,,,,16,,1995-08-26,1995-09-04,,2,9.00,,,,,11,F,F,,,,,
112,,,,13,,1995-09-02,1995-09-02,,2,0.50,,,,,11,F,F,,,,,
113,,,,16,,1995-09-14,1995-09-14,,3,0.50,,,,,11,F,F,,,,,
114,,,,12,,1995-11-25,1996-02-24,,1,91.00,,,,,11,F,F,,,,,
115,,,,11,,1995-10-02,1995-11-23,,1,52.00,,,,,11,F,F,,,,,
116,,,,16,,1995-10-03,1995-10-03,,3,0.50,,,,,11,F,F,,,,,
117,,,,16,,1995-10-24,1995-10-25,,3,1.00,,,,,11,F,F,,,,,
118,,,,16,,1995-10-26,1995-10-27,,3,1.00,,,,,11,F,F,,,,,
119,,,,16,,1995-11-21,1995-11-21,,3,0.50,,,,,11,F,F,,,,,
120,,,,10,,1995-12-04,1995-12-05,,3,1.00,,,,,11,F,F,,,,,
121,,,,16,,1995-12-05,1995-12-05,,3,0.50,,,,,11,F,F,,,,,
122,,,,15,,1995-12-04,1995-12-06,,3,2.00,,,,,11,F,F,,,,,
123,,,,16,,1995-12-16,1995-12-16,,2,0.50,,,,,11,F,F,,,,,
124,,,,16,,1995-12-19,1995-12-19,,3,0.50,,,,,11,F,F,,,,,
125,,,,16,,1995-12-25,1995-12-26,,2,1.00,,,,,11,F,F,,,,,
126,,,,17,,1995-12-25,1995-12-26,,2,1.00,,,,,11,F,F,,,,,
127,,,,9,,1995-12-25,1995-12-26,,2,1.00,,,,,11,F,F,,,,,
128,,,,16,,1995-12-06,1995-12-06,,1,0.00,,,,,11,F,F,,,,,
129,,,,20,,1995-12-24,1995-12-24,,2,0.50,,,,,11,F,F,,,,,
130,,,,20,,1995-12-25,1995-12-25,,2,0.50,,,,,11,F,F,,,,,
131,,,,15,,1996-01-07,1996-01-08,,2,1.00,,,,,11,F,F,,,,,
132,,,,5,,1996-01-07,1996-03-23,,1,76.00,,,,,11,F,F,,,,,
133,,,,18,,1996-03-15,1996-06-16,,1,93.00,,,,,11,F,F,,,,,
134,,,,13,,1996-03-15,1996-06-16,,1,93.00,,,,,11,F,F,,,,,
135,,,,8,,1996-03-10,1996-06-15,,1,97.00,,,,,11,F,F,,,,,
136,,,,17,,1996-04-10,1996-06-17,,1,68.00,,,,,11,F,F,,,,,
137,,,,15,,1996-04-14,1996-04-15,,2,1.00,,,,,11,F,F,,,,,
138,,,,6,,1996-04-24,1996-06-26,,1,63.00,,,,,11,F,F,,,,,
139,,,,19,,1996-04-30,1996-04-30,,1,0.00,,,,,11,F,F,,,,,
140,,,,15,,1996-05-04,1996-05-08,,3,4.00,,,,,11,F,F,,,,,
141,,,,22,,,1996-06-02,,10,0.00,,,,,11,F,F,,,,,
142,,,,23,,,1996-06-12,,10,0.00,,,,,11,F,F,,,,,
143,,,,10,,1996-07-06,1996-08-15,,1,40.00,,,,,11,F,F,,,,,
144,,,,1,,1996-07-10,1996-09-04,,1,56.00,,,,,11,F,F,,,,,
145,,,,20,,1996-09-06,1996-12-18,,1,103.00,,,,,11,F,F,,,,,
146,,,,16,,1996-10-02,1996-10-02,,2,0.50,,,,,11,F,F,,,,,
147,,,,17,,1996-09-22,1996-09-22,,2,0.50,,,,,11,F,F,,,,,
148,,,,16,,1996-09-02,1996-09-02,,2,0.50,,,,,11,F,F,,,,,
149,,,,15,,1996-10-02,1996-10-04,,3,2.00,,,,,11,F,F,,,,,
150,,,,16,,1996-10-07,1996-10-07,,3,0.50,,,,,11,F,F,,,,,
151,,,,18,,1996-11-13,1996-11-14,,3,1.00,,,,,11,F,F,,,,,
152,,,,24,,,1996-11-04,,10,0.00,,,,,11,F,F,,,,,
153,,,,11,,1996-10-22,1996-12-12,,1,51.00,,,,,11,F,F,,,,,
154,,,,25,,,1997-01-16,,10,0.00,,,,,11,F,F,,,,,
155,,,,1,,1996-12-17,1996-12-19,,2,2.00,,,,,11,F,F,,,,,
156,,,,20,,1996-12-23,1996-12-26,,3,3.00,,,,,11,F,F,,,,,
157,,,,17,,1996-12-05,1996-12-06,,3,1.00,,,,,11,F,F,,,,,
158,,,,17,,1996-12-25,1996-12-26,,2,1.00,,,,,11,F,F,,,,,
159,,,,3,,1997-01-11,1997-03-26,,1,74.00,,,,,11,F,F,,,,,
160,,,,7,,1997-02-05,1997-05-14,,1,98.00,,,,,11,F,F,,,,,
161,,,,26,,,1997-02-02,,10,0.00,,,,,11,F,F,,,,,
162,,,,18,,1996-12-21,1997-01-01,,3,11.00,,,,,11,F,F,,,,,
163,,,,10,,1997-03-06,1997-03-13,,4,7.00,,,,,11,F,F,,,,,
164,,,,18,,1997-01-01,1997-02-18,,3,48.00,,,,,11,F,F,,,,,
165,,,,10,,1997-03-01,1997-03-09,,4,8.00,,,,,11,F,F,,,,,
166,,,,20,,1997-02-11,1997-02-11,,2,0.50,,,,,11,F,F,,,,,
167,,,,16,,1997-03-06,1997-03-06,,2,0.50,,,,,11,F,F,,,,,
168,,,,27,,,1997-03-08,,10,0.00,,,,,11,F,F,,,,,
169,,,,20,,1997-03-12,1997-03-12,,2,0.50,,,,,11,F,F,,,,,
170,,,,20,,1997-03-30,1997-03-30,,2,0.50,,,,,11,F,F,,,,,
171,,,,23,,1997-04-03,1997-05-11,,5,38.00,,,,,11,F,F,,,,,
172,,,,3,,1997-03-26,1997-04-02,,3,7.00,,,,,11,F,F,,,,,
173,,,,21,,1997-04-20,1997-07-19,,1,90.00,,,,,11,F,F,,,,,
174,,,,22,,1997-04-14,1997-04-15,,2,1.00,,,,,11,F,F,,,,,
175,,,,16,,1997-04-15,1997-04-15,,3,0.50,,,,,11,F,F,,,,,
176,,,,18,,1997-04-15,1997-04-16,,3,1.50,,,,,11,F,F,,,,,
177,,,,15,,1997-04-27,1997-04-28,,2,1.00,,,,,11,F,F,,,,,
178,,,,16,,1997-05-04,1997-05-04,,2,0.50,,,,,11,F,F,,,,,
179,,,,20,,1997-05-08,1997-05-09,,2,1.00,,,,,11,F,F,,,,,
180,,,,20,,1997-06-07,1997-06-10,,3,3.00,,,,,11,F,F,,,,,
181,,,,15,,1997-06-11,1997-06-12,,3,1.00,,,,,11,F,F,,,,,
182,,,,14,,1997-05-03,1997-06-15,,1,43.00,,,,,11,F,F,,,,,
183,,,,10,,1997-07-05,1997-07-12,,4,7.00,,,,,11,F,F,,,,,
184,,,,10,,1997-07-12,1997-09-08,,1,58.00,,,,,11,F,F,,,,,
185,,,,15,,1997-07-01,1997-07-02,,3,1.00,,,,,11,F,F,,,,,
186,,,,5,,1997-07-10,1997-10-11,,1,93.00,,,,,11,F,F,,,,,
187,,,,26,,1997-07-08,1997-07-09,,3,1.00,,,,,11,F,F,,,,,
188,,,,28,,,1997-07-12,,10,0.00,,,,,11,F,F,,,,,
189,,,,22,,1997-07-30,1997-10-04,,1,66.00,,,,,11,F,F,,,,,
190,,,,2,,1997-08-12,1997-10-18,,1,67.00,,,,,11,F,F,,,,,
191,,,,20,,1997-08-10,1997-08-11,,3,1.00,,,,,11,F,F,,,,,
192,,,,13,,1997-08-16,1997-08-18,,3,2.00,,,,,11,F,F,,,,,
193,,,,9,,1997-08-22,1997-10-09,,1,48.00,,,,,11,F,F,,,,,
194,,,,15,,1997-08-23,1997-08-25,,3,2.00,,,,,11,F,F,,,,,
195,,,,8,,1997-08-27,1997-11-09,,1,74.00,,,,,11,F,F,,,,,
196,,,,19,,1997-09-10,1997-09-12,,3,2.00,,,,,11,F,F,,,,,
197,,,,1,,1997-09-30,1997-09-30,,2,0.50,,,,,11,F,F,,,,,
198,,,,1,,1997-10-01,1997-10-14,,1,13.00,,,,,11,F,F,,,,,
199,,,,14,,1997-07-26,1997-08-05,,5,10.00,,,,,11,F,F,,,,,
200,,,,16,,1997-10-09,1997-10-09,,3,0.50,,,,,11,F,F,,,,,
201,,,,16,,1997-10-11,1997-10-12,,3,1.00,,,,,11,F,F,,,,,
202,,,,18,,1997-10-02,1997-10-03,,3,1.00,,,,,11,F,F,,,,,
203,,,,16,,1997-10-21,1997-10-22,,3,1.00,,,,,11,F,F,,,,,
204,,,,15,,1997-10-23,1997-10-24,,3,1.00,,,,,11,F,F,,,,,
205,,,,18,,1997-10-20,1997-10-27,,5,7.00,,,,,11,F,F,,,,,
206,,,,14,,1997-07-25,1997-08-05,,5,11.00,,,,,11,F,F,,,,,
207,,,,20,,1997-10-29,1997-11-01,,4,3.00,,,,,11,F,F,,,,,
208,,,,18,,1997-10-27,1997-10-29,,2,2.00,,,,,11,F,F,,,,,
209,,,,14,,1997-10-29,1997-11-01,,4,3.00,,,,,11,F,F,,,,,
210,,,,16,,1997-11-05,1997-11-05,,2,0.50,,,,,11,F,F,,,,,
211,,,,26,,1997-11-13,1997-11-14,,3,1.00,,,,,11,F,F,,,,,
212,,,,16,,1997-11-19,1997-11-19,,2,0.50,,,,,11,F,F,,,,,
213,,,,17,,1997-12-03,1998-01-08,,1,36.00,,,,,11,F,F,,,,,
214,,,,16,,1997-12-17,1998-03-07,,1,80.00,,,,,11,F,F,,,,,
215,,,,15,,1997-12-25,1997-12-26,,2,1.00,,,,,11,F,F,,,,,
216,,,,26,,1997-12-25,1997-12-26,,2,1.00,,,,,11,F,F,,,,,
217,,,,28,,1997-12-25,1997-12-25,,2,0.50,,,,,11,F,F,,,,,
218,,,,9,,1997-12-25,1997-12-25,,2,0.50,,,,,11,F,F,,,,,
219,,,,18,,1997-12-25,1997-12-26,,2,1.00,,,,,11,F,F,,,,,
220,,,,20,,1997-12-25,1997-12-25,,2,0.50,,,,,11,F,F,,,,,
221,,,,10,,1998-01-15,1998-01-16,,2,1.00,,,,,11,F,F,,,,,
222,,,,11,,1998-02-01,1998-04-23,,1,81.00,,,,,11,F,F,,,,,
223,,,,23,,1998-01-20,1998-01-21,,2,1.00,,,,,11,F,F,,,,,
224,,,,17,,1998-01-27,1998-01-28,,2,1.00,,,,,11,F,F,,,,,
225,,,,19,,1998-02-16,1998-03-29,,1,41.00,,,,,11,F,F,,,,,
226,,,,20,,1998-02-04,1998-02-06,,3,2.00,,,,,11,F,F,,,,,
227,,,,29,,,1998-01-11,,10,0.00,,,,,11,F,F,,,,,
228,,,,1,,1998-02-16,1998-02-18,,3,2.00,,,,,11,F,F,,,,,
229,,,,12,,1998-02-25,1998-05-02,,1,66.00,,,,,11,F,F,,,,,
230,,,,15,,1998-03-21,1998-06-01,,1,72.00,,,,,11,F,F,,,,,
231,,,,14,,1998-02-26,1998-02-28,,2,2.00,,,,,11,F,F,,,,,
232,,,,22,,1998-03-10,1998-03-11,,2,1.00,,,,,11,F,F,,,,,
233,,,,30,,,1998-03-18,,10,0.00,,,,,11,F,F,,,,,
234,,,,28,,1998-03-23,1998-03-24,,2,1.00,,,,,11,F,F,,,,,
235,,,,16,,1998-03-28,1998-03-28,,2,0.50,,,,,11,F,F,,,,,
236,,,,23,,1998-04-04,1998-04-07,,2,3.00,,,,,11,F,F,,,,,
237,,,,21,,1998-03-30,1998-03-30,,2,0.50,,,,,11,F,F,,,,,
238,,,,25,,1998-04-11,1998-05-13,,5,32.00,,,,,11,F,F,,,,,
239,,,,20,,1998-03-25,1998-03-28,,2,2.00,,,,,11,F,F,,,,,
240,,,,20,,1998-04-14,1998-04-16,,3,2.00,,,,,11,F,F,,,,,
241,,,,22,,1998-04-30,1998-05-01,,2,1.00,,,,,11,F,F,,,,,
242,,,,18,,1998-05-02,1998-05-03,,3,1.00,,,,,11,F,F,,,,,
243,,,,23,,1998-04-11,1998-04-20,,5,9.00,,,,,11,F,F,,,,,
244,,,,22,,1998-05-09,1998-05-10,,2,1.00,,,,,11,F,F,,,,,
245,,,,16,,1998-05-14,1998-05-14,,2,0.50,,,,,11,F,F,,,,,
246,,,,26,,1998-05-20,1998-05-21,,2,1.00,,,,,11,F,F,,,,,
247,,,,23,,1998-05-23,1998-06-14,,1,22.00,,,,,11,F,F,,,,,
248,,,,13,,1998-05-28,1998-05-29,,2,1.00,,,,,11,F,F,,,,,
249,,,,24,,1998-06-20,1998-09-17,,1,89.00,,,,,11,F,F,,,,,
250,,,,10,,1998-06-18,1998-08-08,,1,51.00,,,,,11,F,F,,,,,
251,,,,16,,1998-06-24,1998-06-26,,3,2.00,,,,,11,F,F,,,,,
252,,,,13,,1998-06-30,1998-06-30,,1,0.00,,,,,11,F,F,,,,,
253,,,,18,,1998-06-30,1998-06-30,,1,0.00,,,,,11,F,F,,,,,
254,,,,28,,1998-07-15,1998-08-28,,1,44.00,,,,,11,F,F,,,,,
255,,,,1,,1998-07-11,1998-08-26,,1,46.00,,,,,11,F,F,,,,,
256,,,,31,,,1998-07-01,,10,0.00,,,,,11,F,F,,,,,
257,,,,32,,,1998-07-01,,10,0.00,,,,,11,F,F,,,,,
258,,,,18,,1998-07-25,1998-07-26,,2,1.00,,,,,11,F,F,,,,,
259,,,,33,,,1998-08-06,,10,0.00,,,,,11,F,F,,,,,
260,,,,18,,1998-08-22,1998-08-23,,2,1.00,,,,,11,F,F,,,,,
261,,,,13,,1998-09-14,1998-10-01,,5,17.00,,,,,11,F,F,,,,,
262,,,,16,,1998-09-12,1998-09-12,,2,0.50,,,,,11,F,F,,,,,
263,,,,23,,1998-09-24,1998-10-06,,4,12.00,,,,,11,F,F,,,,,
264,,,,16,,1998-09-24,1998-09-24,,2,0.50,,,,,11,F,F,,,,,
265,,,,26,,1998-09-27,1998-09-27,,2,0.50,,,,,11,F,F,,,,,
266,,,,28,,1998-10-06,1998-10-07,,2,1.00,,,,,11,F,F,,,,,
267,,,,34,,,1998-10-10,,10,0.00,,,,,11,F,F,,,,,
268,,,,31,,1998-10-16,1998-11-21,,5,36.00,,,,,11,F,F,,,,,
269,,,,20,,1998-10-29,1998-11-01,,4,3.00,,,,,11,F,F,,,,,
270,,,,1,,1998-10-29,1998-11-01,,4,3.00,,,,,11,F,F,,,,,
271,,,,23,,1998-10-26,1998-12-01,,4,36.00,,,,,11,F,F,,,,,
272,,,,8,,1998-11-17,1999-02-07,,1,82.00,,,,,11,F,F,,,,,
273,,,,14,,1998-05-13,1998-06-01,,5,19.00,,,,,11,F,F,,,,,
274,,,,14,,1998-06-01,1998-11-01,,4,153.00,,,,,11,F,F,,,,,
275,,,,10,,1998-12-09,1998-12-12,,4,3.00,,,,,11,F,F,,,,,
276,,,,16,,1998-12-05,1998-12-06,,3,1.00,,,,,11,F,F,,,,,
277,,,,1,,1998-12-07,1998-12-07,,2,0.50,,,,,11,F,F,,,,,
278,,,,16,,1998-12-24,1998-12-25,,2,1.00,,,,,11,F,F,,,,,
279,,,,28,,1998-12-22,1998-12-22,,2,0.50,,,,,11,F,F,,,,,
280,,,,26,,1998-12-26,1998-12-27,,2,1.00,,,,,11,F,F,,,,,
281,,,,7,,1999-01-13,1999-04-18,,1,95.00,,,,,11,F,F,,,,,
282,,,,3,,1999-01-15,1999-04-10,,1,85.00,,,,,11,F,F,,,,,
283,,,,6,,1999-01-16,1999-04-17,,1,91.00,,,,,11,F,F,,,,,
284,,,,22,,1999-01-04,1999-01-05,,3,1.00,,,,,11,F,F,,,,,
285,,,,16,,1999-02-02,1999-02-03,,3,1.00,,,,,11,F,F,,,,,
286,,,,10,,1999-02-14,1999-02-18,,4,4.00,,,,,11,F,F,,,,,
287,,,,15,,1999-02-14,1999-02-19,,4,5.00,,,,,11,F,F,,,,,
288,,,,20,,1999-01-03,1999-01-04,,2,1.00,,,,,11,F,F,,,,,
289,,,,20,,1999-01-22,1999-01-22,,2,0.50,,,,,11,F,F,,,,,
290,,,,20,,1999-02-04,1999-02-05,,2,1.00,,,,,11,F,F,,,,,
291,,,,23,,1999-01-24,1999-01-24,,2,0.50,,,,,11,F,F,,,,,
292,,,,23,,1999-02-04,1999-02-04,,2,0.50,,,,,11,F,F,,,,,
293,,,,15,,1999-02-20,1999-02-25,,2,5.00,,,,,11,F,F,,,,,
294,,,,22,,1999-02-21,1999-02-21,,2,0.50,,,,,11,F,F,,,,,
295,,,,10,,1999-02-25,1999-02-27,,4,2.00,,,,,11,F,F,,,,,
296,,,,16,,1999-03-07,1999-03-10,,3,3.50,,,,,11,F,F,,,,,
297,,,,23,,1999-03-30,1999-04-03,,2,3.00,,,,,11,F,F,,,,,
298,,,,26,,1999-03-18,1999-03-19,,2,1.00,,,,,11,F,F,,,,,
299,,,,23,,1999-04-03,1999-04-14,,4,11.00,,,,,11,F,F,,,,,
300,,,,20,,1999-04-04,1999-04-13,,4,9.00,,,,,11,F,F,,,,,
301,,,,22,,1999-04-15,1999-04-16,,2,1.00,,,,,11,F,F,,,,,
302,,,,17,,1999-04-14,1999-04-14,,1,0.00,,,,,11,F,F,,,,,
303,,,,20,,1999-04-14,1999-04-17,,2,2.00,,,,,11,F,F,,,,,
304,,,,25,,1999-04-21,1999-05-08,,1,17.00,,,,,11,F,F,,,,,
305,,,,19,,1999-04-20,1999-04-22,,3,2.00,,,,,11,F,F,,,,,
306,,,,27,,1999-05-01,1999-07-15,,1,75.00,,,,,11,F,F,,,,,
307,,,,11,,1999-05-01,1999-07-22,,1,82.00,,,,,11,F,F,,,,,
308,,,,16,,1999-04-26,1999-04-26,,2,0.50,,,,,11,F,F,,,,,
309,,,,26,,1999-02-02,1999-02-02,,1,0.00,,,,,11,F,F,,,,,
310,,,,28,,1999-05-06,1999-05-07,,2,1.00,,,,,11,F,F,,,,,
311,,,,16,,1999-05-09,1999-05-09,,2,0.50,,,,,11,F,F,,,,,
312,,,,10,,1999-05-23,1999-05-29,,4,6.00,,,,,11,F,F,,,,,
313,,,,5,,1999-06-01,1999-09-06,,1,97.00,,,,,11,F,F,,,,,
314,,,,15,,1999-05-15,1999-05-22,,3,7.00,,,,,11,F,F,,,,,
315,,,,20,,1999-05-19,1999-05-28,,3,9.00,,,,,11,F,F,,,,,
316,,,,22,,1999-05-29,1999-05-30,,2,1.00,,,,,11,F,F,,,,,
317,,,,26,,1999-05-30,1999-05-30,,2,0.50,,,,,11,F,F,,,,,
318,,,,10,,1999-06-15,1999-06-17,,4,2.00,,,,,11,F,F,,,,,
319,,,,22,,1999-06-07,1999-06-07,,2,0.50,,,,,11,F,F,,,,,
320,,,,16,,1999-06-08,1999-06-08,,2,0.50,,,,,11,F,F,,,,,
321,,,,18,,1999-06-12,1999-06-12,,3,0.50,,,,,11,F,F,,,,,
322,,,,18,,1999-06-13,1999-06-14,,3,1.50,,,,,11,F,F,,,,,
