id,transaction_no,transaction_date,doc_ref_no,effectivity_date,employee_id,basic_income,housing_allowances,car_allowances,petrol_allowances,food_allowances,others,incentive,mobile_allowances,total_gross_pay,remarks,hr_remarks,mngt_remarks,hr_approved_by,mngt_approved_by,status_id,created_on,created_by,updated_on,updated_by
66,,1993-05-06,,1993-05-06,17,1643,0,0,0,365,0,0,0,2008,,,,,,5,,,2020-02-23 19:47:58,17
67,,1993-05-08,,1993-05-08,18,1460,0,0,0,365,0,0,0,1825,,,,,,5,,,2020-02-23 19:47:58,17
68,,1994-02-13,,1994-02-13,19,1533,0,0,0,365,0,0,0,1898,,,,,,5,,,2020-02-23 19:47:58,17
69,,1994-03-21,,1994-03-21,15,2300,1000,300,0,0,0,0,0,3600,,,,,,5,,,2020-02-23 19:47:58,17
70,,1994-01-01,,1994-01-01,1,3300,1600,500,0,0,100,0,0,5500,,,,,,5,,,2020-02-23 19:47:58,17
71,,1994-01-01,,1994-01-01,10,2650,1000,600,0,0,330,0,0,4580,,,,,,5,,,2020-02-23 19:47:58,17
72,,1994-01-01,,1994-01-01,14,7800,0,0,100,0,2000,0,0,9900,,,,,,5,,,2020-02-23 19:47:58,17
73,,1994-06-01,,1994-06-01,6,1075,0,0,0,0,0,0,0,1075,,,,,,5,,,2020-02-23 19:47:58,17
74,,1994-06-01,,1994-06-01,8,1000,0,0,0,360,140,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
75,,1994-06-01,,1994-06-01,13,900,0,0,0,360,0,0,0,1260,,,,,,5,,,2020-02-23 19:47:58,17
76,,1994-06-01,,1994-06-01,20,2200,300,0,0,0,200,0,0,2700,,,,,,5,,,2020-02-23 19:47:58,17
77,,1995-01-23,,1995-01-23,21,900,0,0,0,360,0,0,0,1260,,,,,,5,,,2020-02-23 19:47:58,17
78,,,,,21,900,300,0,0,0,0,0,0,1200,,,,,,5,,,2020-02-23 19:47:58,17
79,,1995-06-01,,1995-06-01,10,3000,1000,600,0,0,600,0,0,5200,,,,,,5,,,2020-02-23 19:47:58,17
80,,1995-06-01,,1995-06-01,9,1700,0,0,0,360,0,0,0,2060,,,,,,5,,,2020-02-23 19:47:58,17
81,,1995-06-01,,1995-06-01,17,1835,0,0,0,365,200,0,0,2400,,,,,,5,,,2020-02-23 19:47:58,17
82,,1995-06-01,,1995-06-01,11,2000,500,700,0,0,100,0,0,3300,,,,,,5,,,2020-02-23 19:47:58,17
83,,1995-06-01,,1995-06-01,20,2200,300,0,0,0,500,0,0,3000,,,,,,5,,,2020-02-23 19:47:58,17
84,,1995-06-01,,1995-06-01,16,1835,0,0,0,365,0,0,0,2200,,,,,,5,,,2020-02-23 19:47:58,17
85,,1995-06-01,,1995-06-01,1,4000,1600,500,0,0,625,0,0,6725,,,,,,5,,,2020-02-23 19:47:58,17
86,,1995-06-01,,1995-06-01,19,1635,0,0,0,365,0,0,0,2000,,,,,,5,,,2020-02-23 19:47:58,17
87,,1995-06-01,,1995-06-01,8,1200,0,0,0,360,140,0,0,1700,,,,,,5,,,2020-02-23 19:47:58,17
88,,1995-06-01,,1995-06-01,13,1000,0,0,0,360,100,0,0,1460,,,,,,5,,,2020-02-23 19:47:58,17
89,,1995-06-01,,1995-06-01,12,1200,450,750,0,0,0,0,0,2400,,,,,,5,,,2020-02-23 19:47:58,17
90,,1995-06-01,,1995-06-01,5,2800,650,0,0,0,150,0,0,3600,,,,,,5,,,2020-02-23 19:47:58,17
91,,1995-06-01,,1995-06-01,6,1200,0,0,0,0,125,0,0,1325,,,,,,5,,,2020-02-23 19:47:58,17
92,,1995-06-01,,1995-06-01,7,2000,0,0,0,0,450,0,0,2450,,,,,,5,,,2020-02-23 19:47:58,17
93,,1995-06-01,,1995-06-01,3,1500,300,0,0,0,500,0,0,2300,,,,,,5,,,2020-02-23 19:47:58,17
94,,1995-05-01,,1995-05-01,20,2200,300,300,0,0,500,0,0,3300,,,,,,5,,,2020-02-23 19:47:58,17
95,,1995-06-01,,1995-06-01,2,1650,300,0,0,0,350,0,0,2300,,,,,,5,,,2020-02-23 19:47:58,17
96,,1996-03-18,,1996-03-18,10,3000,1000,0,100,0,600,0,0,4700,,,,,,5,,,2020-02-23 19:47:58,17
97,,1996-06-02,,1996-06-02,22,3000,0,0,0,0,0,0,0,3000,,,,,,5,,,2020-02-23 19:47:58,17
98,,1996-06-12,,1996-06-12,23,3000,700,300,0,0,0,0,0,4000,,,,,,5,,,2020-02-23 19:47:58,17
99,,1996-06-01,,1996-06-01,20,2200,300,300,0,0,700,0,0,3500,,,,,,5,,,2020-02-23 19:47:58,17
100,,1996-01-01,,1996-01-01,1,5000,1600,525,0,0,0,0,0,7125,,,,,,5,,,2020-02-23 19:47:58,17
101,,1996-06-01,,1996-06-01,17,2200,0,0,0,365,435,0,0,3000,,,,,,5,,,2020-02-23 19:47:58,17
102,,1996-06-01,,1996-06-01,8,1300,0,0,0,360,200,0,0,1860,,,,,,5,,,2020-02-23 19:47:58,17
103,,1996-01-01,,1996-01-01,10,4000,1600,0,100,0,300,0,0,6000,,,,,,5,,,2020-02-23 19:47:58,17
104,,1996-01-01,,1996-01-01,9,2040,0,0,0,360,0,0,0,2400,,,,,,5,,,2020-02-23 19:47:58,17
105,,1996-06-01,,1996-06-01,7,2300,0,0,0,0,650,0,0,2950,,,,,,5,,,2020-02-23 19:47:58,17
106,,1996-06-01,,1996-06-01,5,2800,650,0,0,0,350,0,0,3800,,,,,,5,,,2020-02-23 19:47:58,17
107,,1996-01-01,,1996-01-01,6,1375,0,0,0,0,125,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
108,,1996-06-01,,1996-06-01,18,1460,300,0,0,365,0,0,0,2125,,,,,,5,,,2020-02-23 19:47:58,17
109,,1996-06-01,,1996-06-01,19,1835,0,0,0,365,0,0,0,2200,,,,,,5,,,2020-02-23 19:47:58,17
110,,1996-01-01,,1996-01-01,16,1935,300,0,0,365,0,0,0,2600,,,,,,5,,,2020-02-23 19:47:58,17
111,,1996-06-01,,1996-06-01,13,1000,300,0,0,360,100,0,0,1760,,,,,,5,,,2020-02-23 19:47:58,17
112,,1996-01-01,,1996-01-01,15,2800,1300,300,0,0,0,0,0,4400,,,,,,5,,,2020-02-23 19:47:58,17
113,,1996-01-01,,1996-01-01,14,7800,3500,0,100,0,2000,0,0,13400,,,,,,5,,,2020-02-23 19:47:58,17
114,,1996-08-01,,1996-08-01,23,3000,0,300,0,0,700,0,0,4000,,,,,,5,,,2020-02-23 19:47:58,17
115,,1996-07-01,,1996-07-01,11,2250,500,700,0,0,100,0,0,3550,,,,,,5,,,2020-02-23 19:47:58,17
116,,1996-09-01,,1996-09-01,22,3500,500,0,0,0,0,0,0,4000,,,,,,5,,,2020-02-23 19:47:58,17
117,,1996-10-01,,1996-10-01,12,1350,450,0,0,0,500,0,0,2300,,,,,,5,,,2020-02-23 19:47:58,17
118,,1996-06-01,,1996-06-01,2,1650,300,0,0,0,550,0,0,2500,,,,,,5,,,2020-02-23 19:47:58,17
119,,1996-11-04,,1996-11-04,24,900,300,0,0,0,0,0,0,1200,,,,,,5,,,2020-02-23 19:47:58,17
120,,1997-01-16,,1997-01-16,25,1643,0,0,0,365,0,0,0,2008,,,,,,5,,,2020-02-23 19:47:58,17
121,,1997-01-30,,1997-01-30,25,1917,0,0,0,365,0,0,0,2282,,,,,,5,,,2020-02-23 19:47:58,17
122,,1997-02-02,,1997-02-02,26,2008,0,0,0,365,0,0,0,2373,,,,,,5,,,2020-02-23 19:47:58,17
123,,1997-02-18,,1997-02-18,24,900,300,0,0,0,300,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
124,,1997-03-01,,1997-03-01,20,2500,800,500,0,0,700,0,0,4500,,,,,,5,,,2020-02-23 19:47:58,17
125,,1997-03-08,,1997-03-08,27,900,0,0,0,0,200,0,0,1100,,,,,,5,,,2020-02-23 19:47:58,17
126,,1997-01-01,,1997-01-01,10,5000,1600,0,100,0,500,0,0,7200,,,,,,5,,,2020-02-23 19:47:58,17
127,,1997-07-12,,1997-07-12,28,1643,0,0,0,365,0,0,0,2008,,,,,,5,,,2020-02-23 19:47:58,17
128,,1997-06-01,,1997-06-01,17,2400,0,0,0,365,635,0,0,3400,,,,,,5,,,2020-02-23 19:47:58,17
129,,1997-06-01,,1997-06-01,2,1800,300,0,0,0,600,0,0,2700,,,,,,5,,,2020-02-23 19:47:58,17
130,,1997-01-01,,1997-01-01,16,2035,300,0,0,365,250,0,0,2950,,,,,,5,,,2020-02-23 19:47:58,17
131,,1997-06-01,,1997-06-01,6,1475,0,0,0,0,125,0,0,1600,,,,,,5,,,2020-02-23 19:47:58,17
132,,1997-01-01,,1997-01-01,3,1700,300,0,0,0,500,0,0,2500,,,,,,5,,,2020-02-23 19:47:58,17
133,,1997-11-01,,1997-11-01,22,3500,500,0,0,0,550,0,0,4550,,,,,,5,,,2020-02-23 19:47:58,17
134,,1997-12-01,,1997-12-01,3,1700,300,0,200,0,500,0,0,2700,,,,,,5,,,2020-02-23 19:47:58,17
135,,1997-12-01,,1997-12-01,2,1800,300,0,180,0,600,0,0,2880,,,,,,5,,,2020-02-23 19:47:58,17
136,,1997-12-01,,1997-12-01,12,1350,450,0,200,0,500,0,0,2500,,,,,,5,,,2020-02-23 19:47:58,17
137,,1997-12-01,,1997-12-01,13,1000,300,0,275,360,100,0,0,2035,,,,,,5,,,2020-02-23 19:47:58,17
138,,1997-12-01,,1997-12-01,19,1835,0,0,200,365,0,0,0,2400,,,,,,5,,,2020-02-23 19:47:58,17
